Dominant,Promiscuous,Wanting To Be Boss,Rude,Disrespectful,Vulgar,Abuse Spouse,Abuse Children,Cheating on Spouse,Emotionally Cold,Initiating Fights,Not Taking Action When Significant Others Threatened,Not Wanting Children,Not Cleaning House,Spendthrift on Cosmetics and Clothing,Not Caring about Appearance,Gender,Gender Others,Age,NativeEng
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,27,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,,27,1
1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,,27,1
6,5,6,4,5,5,5,5,7,4,6,5,6,5,5,7,2,,28,1
2,1,1,1,5,2,1,2,6,5,2,5,6,2,1,1,2,,27,1
2,2,2,1,2,1,3,1,1,2,1,2,2,3,1,3,2,,31,1
7,6,6,6,6,6,6,6,7,6,6,6,6,6,6,6,2,,27,1
5,5,4,5,6,5,6,5,5,4,6,6,4,5,4,5,2,,26,1
2,1,2,3,1,2,4,5,1,1,1,2,2,1,1,2,2,,25,1
3,2,3,2,2,2,6,7,7,2,2,3,2,2,6,3,2,,51,1
2,4,2,5,6,3,7,7,6,1,6,5,1,4,7,1,1,,19,1
,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,,28,1
1,1,1,1,1,1,3,4,3,1,1,2,1,1,1,1,2,,23,1
6,5,6,3,4,6,6,6,5,6,6,6,6,6,4,6,1,,33,1
7,4,7,5,5,7,5,4,7,6,7,7,4,5,7,4,1,,66,1
3,1,1,3,4,5,4,2,4,1,1,1,1,2,1,1,1,,43,1
1,1,1,2,3,2,3,3,1,2,2,2,1,3,1,3,1,,32,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,28,1
1,1,1,1,2,2,4,4,2,1,2,2,1,1,3,1,2,,33,1
1,1,2,1,1,1,1,3,1,1,1,3,2,1,1,2,2,,49,1
3,1,1,1,1,1,1,1,4,1,2,1,1,1,1,1,2,,23,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,28,1
7,7,2,6,7,7,7,7,7,2,6,6,5,6,6,3,2,,30,1
3,1,5,1,1,1,6,7,4,4,3,2,1,2,2,1,1,,47,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,28,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,30,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,25,1
